,cont_hh_cost_elec,cont_hh_cost_gas,cont_hh_cost_water,cont_hh_house_value,cont_hh_income,cont_hh_rent,cont_p_income,cont_p_perc_poverty_threshold,i_hh_college_degree,i_hh_disability,i_hh_employed,i_hh_food_stamp,i_hh_have_kids,i_hh_health_insurance,i_hh_immigrant,i_hh_in_school,i_hh_linguistic_isolation,i_hh_married,i_hh_mortgage,i_hh_own_house,i_hh_private_school,i_hh_self_employed,i_hh_speak_english,i_hh_stem,i_hh_stem_occupation,i_hh_us_citizen,i_hh_veteran,i_p_born_usa,i_p_college,i_p_college_degree,i_p_disability,i_p_employed,i_p_english_first,i_p_female,i_p_have_kids,i_p_health_insurance,i_p_immigrant,i_p_in_school,i_p_married,i_p_private_school,i_p_race_am_indian_alaska,i_p_race_asian,i_p_race_black,i_p_race_hispanic,i_p_race_other,i_p_race_pacific_islander,i_p_race_white,i_p_self_employed,i_p_speak_english,i_p_stem,i_p_stem_occupation,i_p_us_citizen,i_p_veteran,int_hh_bedrooms,int_hh_num_families,int_hh_num_fathers,int_hh_num_generations,int_hh_num_mothers,int_hh_vehicles,int_p_age,int_p_family_size,int_p_num_siblings,tech_hh_id,tech_hh_weight,tech_p_dad_id,tech_p_id,tech_p_mom_id,tech_p_spouse_id,tech_p_weight
183,360,0,0,0,12000,800,12000,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,2,1,0,1,0,1,23,1,0,26873,62,0,1,0,0,62
188,840,480,0,0,38000,790,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,2,2,0,1,0,2,37,1,0,27388,81,0,2,0,0,86
189,1080,960,80,150000,26000,0,26000,179,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,4,1,0,1,0,2,58,2,0,27504,70,0,1,0,2,70
191,1200,360,0,0,36500,800,13500,119,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,2,2,0,1,0,2,21,1,0,27630,212,0,1,0,0,212
193,1800,0,40,800000,209900,0,176200,501,1,0,1,0,1,1,0,0,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,3,1,1,2,1,4,55,3,0,27919,88,0,2,0,1,79
196,0,0,0,0,35000,1000,10000,240,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,2,1,0,1,0,1,63,2,0,28536,88,0,2,0,1,82
197,1080,0,0,0,100000,780,52000,459,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,2,2,0,1,0,2,40,1,0,28952,71,0,1,0,0,71
201,2160,240,950,275000,38000,0,38000,260,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,4,1,0,1,0,2,51,2,0,29150,85,0,1,0,2,85
207,960,2520,540,250000,27200,0,3200,187,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,3,1,0,2,1,2,23,2,0,29618,63,0,2,1,0,72
208,1080,0,750,139000,46430,0,41430,176,0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,4,1,1,2,1,2,26,5,1,29622,50,0,1,0,2,49
